purpose,answer,count
HobbyBuildSkills,Very True of Me,148
HobbyBuildSkills,True of Me,71
HobbyBuildSkills,Neutral,17
HobbyEnjoyment,Very True of Me,140
HobbyEnjoyment,True of Me,85
HobbyEnjoyment,Neutral,10
HobbyPortfolio,Very True of Me,89
HobbyPortfolio,True of Me,82
HobbyPortfolio,Neutral,41
HobbyShareMessages,True of Me,99
HobbyShareMessages,Neutral,62
HobbyShareMessages,Very True of Me,52
HobbyVolunteer,True of Me,66
HobbyVolunteer,Neutral,58
HobbyVolunteer,Very True of Me,29
